rank,layout_name,word_count,total_frequency,sequence_count,collision_count,collision_group_count,collided_word_count,collided_frequency,weighted_collision_score,weighted_collision_pairs,high_frequency_word_collision_count,average_candidate_ambiguity,first_2_character_ambiguity,first_3_character_ambiguity,channel_load_distribution,channel_entropy,entropy_balance_score,pinky_burden,ring_burden,core_channel_burden,hand_alternation_rate,convergence_auc,average_elimination_rate,average_uniqueness_step,reconstruction_confidence,intent_resolution_score,learnability_index,memorization_complexity,average_field_diversity,cognitive_grouping_score,mnemonic_quality,estimated_learning_difficulty,score,layout
1,evolved_rank_1,800,197112053607,768,32,25,57,23874443589,16924832.432819843,3336088477787477414,12,1.1423865534877837,11.896436007405713,2.7171704465666418,"{""0"": 46406830680, ""1"": 38538799185, ""2"": 26714618697, ""3"": 56105658625, ""4"": 72065540776, ""5"": 36937946307, ""6"": 74238206900, ""7"": 76218068512, ""8"": 83010758543, ""9"": 52484640535}",0.9760857161232521,0.9760857161232521,0.17573799295077952,0.21600321096177186,0.6082587960874486,0.45101329878584906,7.719816599586632,0.1724285322013381,11.458623017241953,0.8249774625818477,198593689142.6334,0.8184733136280805,0.1884222879063983,1.0,0.9,0.5999999999999999,0.18152668637191952,200734364364.08374,"{""a"": 7, ""b"": 1, ""c"": 4, ""d"": 3, ""e"": 6, ""f"": 5, ""g"": 3, ""h"": 9, ""i"": 3, ""j"": 2, ""k"": 2, ""l"": 5, ""m"": 6, ""n"": 0, ""o"": 4, ""p"": 0, ""q"": 0, ""r"": 7, ""s"": 2, ""t"": 8, ""u"": 8, ""v"": 9, ""w"": 1, ""x"": 5, ""y"": 1, ""z"": 4}"
2,evolved_rank_2,800,197112053607,756,44,37,81,42315009800,12202499.892278017,2405259812906116139,19,1.278984682538192,15.1055269528543,2.9774701261098206,"{""0"": 93476624382, ""1"": 16173733986, ""2"": 13999229091, ""3"": 26896007011, ""4"": 22107925688, ""5"": 66668559385, ""6"": 76168067151, ""7"": 62556702838, ""8"": 69986467413, ""9"": 114687751815}",0.9188105862314384,0.9188105862314384,0.36992461763641893,0.15311351606020504,0.47696186630337606,0.31556532426509915,7.4691399903359414,0.17004472718921232,11.987420580316495,0.7199393327662049,199536036139.10437,0.8576923076923076,0.3076923076923077,1.0,1.0,0.7999999999999999,0.14230769230769233,202553825791.34366,"{""a"": 0, ""b"": 2, ""c"": 4, ""d"": 4, ""e"": 6, ""f"": 5, ""g"": 5, ""h"": 9, ""i"": 5, ""j"": 2, ""k"": 2, ""l"": 7, ""m"": 3, ""n"": 0, ""o"": 9, ""p"": 2, ""q"": 8, ""r"": 7, ""s"": 7, ""t"": 8, ""u"": 6, ""v"": 3, ""w"": 1, ""x"": 9, ""y"": 3, ""z"": 0}"
3,evolved_rank_3,800,197112053607,749,51,38,89,28289636225,30006632.088928927,5914668872878484689,17,1.2072855317689664,12.673353555524454,3.2625697661553965,"{""0"": 133130108651, ""1"": 77913248005, ""2"": 47632032180, ""3"": 34830657956, ""4"": 43737502563, ""5"": 79928796154, ""6"": 59451507098, ""7"": 12552796245, ""8"": 22836856371, ""9"": 50707563537}",0.9298182000545971,0.9298182000545971,0.32669413390385527,0.17904093158980303,0.4942649345063417,0.3985151143798442,7.355431680255835,0.17421097957293488,12.651258812527745,0.7895316574768478,200388343131.55017,0.7184733136280805,0.1884222879063983,1.0,0.9,0.20000000000000007,0.28152668637191947,203217417350.07083,"{""a"": 9, ""b"": 8, ""c"": 3, ""d"": 5, ""e"": 0, ""f"": 1, ""g"": 3, ""h"": 1, ""i"": 4, ""j"": 7, ""k"": 4, ""l"": 2, ""m"": 2, ""n"": 6, ""o"": 5, ""p"": 1, ""q"": 0, ""r"": 3, ""s"": 2, ""t"": 0, ""u"": 8, ""v"": 4, ""w"": 6, ""x"": 9, ""y"": 7, ""z"": 5}"
4,evolved_rank_4,800,197112053607,753,47,37,84,37782316322,243877029.83642384,48071102178633113092,22,1.2181063074443725,12.79462792638896,2.873181542328002,"{""0"": 79317375224, ""1"": 49235968710, ""2"": 81487169780, ""3"": 71044046974, ""4"": 12941514747, ""5"": 72101808059, ""6"": 66632273024, ""7"": 41004826853, ""8"": 38757253197, ""9"": 50198832192}",0.965787921161712,0.965787921161712,0.23016057973695409,0.15637093898207857,0.6134684812809673,0.47552043762718865,7.710719807506901,0.17322693666113723,12.239917634668286,0.7055762948281767,204734877584.291,0.7465131300885379,0.42828956637154014,1.0,0.9,0.5999999999999999,0.2534868699114621,206856294362.33392,"{""a"": 9, ""b"": 4, ""c"": 5, ""d"": 7, ""e"": 0, ""f"": 5, ""g"": 6, ""h"": 1, ""i"": 5, ""j"": 4, ""k"": 3, ""l"": 8, ""m"": 8, ""n"": 2, ""o"": 6, ""p"": 4, ""q"": 1, ""r"": 7, ""s"": 2, ""t"": 3, ""u"": 8, ""v"": 8, ""w"": 0, ""x"": 8, ""y"": 2, ""z"": 2}"
5,evolved_rank_5,800,197112053607,762,38,31,69,30841654681,21383803.47090325,4215005416078234598,18,1.2268130103861508,14.162728540026032,2.8010237641367297,"{""0"": 86439710379, ""1"": 74784460003, ""2"": 36751308511, ""3"": 135987233517, ""4"": 12941514747, ""5"": 54416591222, ""6"": 44966859593, ""7"": 26019236320, ""8"": 24413880927, ""9"": 66000273541}",0.9213995377400326,0.9213995377400326,0.2708979499486548,0.17628332478929806,0.5528187252620472,0.405726215831751,8.092301344027046,0.17203024615829599,11.907698794852626,0.7731954914277633,207883378944.658,0.6484625048379523,0.2551249838734923,1.0,0.9,0.0,0.3515374951620477,210433398937.7151,"{""a"": 9, ""b"": 4, ""c"": 0, ""d"": 5, ""e"": 0, ""f"": 1, ""g"": 6, ""h"": 1, ""i"": 5, ""j"": 4, ""k"": 3, ""l"": 8, ""m"": 2, ""n"": 6, ""o"": 3, ""p"": 4, ""q"": 1, ""r"": 7, ""s"": 2, ""t"": 3, ""u"": 8, ""v"": 9, ""w"": 0, ""x"": 8, ""y"": 9, ""z"": 5}"
6,evolved_rank_6,800,197112053607,753,47,34,81,42024673723,109421903.30571339,21568376070175747472,23,1.2865768819172505,15.528335635732535,3.455615684203955,"{""0"": 135569573455, ""1"": 39010590357, ""2"": 66145600308, ""3"": 19923502700, ""4"": 64943186543, ""5"": 80867191082, ""6"": 18216900817, ""7"": 50707563537, ""8"": 38101126034, ""9"": 49235833927}",0.9334042952555237,0.9334042952555237,0.3284138761486809,0.13703364006064622,0.5345524837906729,0.4493360316491419,8.123978822475163,0.1747617491950912,12.051610714037219,0.718705680980075,210214347306.60257,0.696513130088538,0.42828956637154014,1.0,0.9,0.4,0.303486869911462,212787736783.027,"{""a"": 7, ""b"": 1, ""c"": 6, ""d"": 3, ""e"": 0, ""f"": 8, ""g"": 3, ""h"": 9, ""i"": 2, ""j"": 2, ""k"": 2, ""l"": 5, ""m"": 6, ""n"": 0, ""o"": 4, ""p"": 0, ""q"": 5, ""r"": 0, ""s"": 2, ""t"": 5, ""u"": 1, ""v"": 3, ""w"": 1, ""x"": 7, ""y"": 8, ""z"": 3}"
7,evolved_rank_7,800,197112053607,751,49,39,88,60340769058,47070329.34178021,9278129280516125134,20,1.3468337630904383,12.532007037129645,3.2378523852096635,"{""0"": 79826106569, ""1"": 76074038566, ""2"": 57519513412, ""3"": 13024425913, ""4"": 20063688398, ""5"": 26714591976, ""6"": 64943186543, ""7"": 51885712026, ""8"": 73235139238, ""9"": 99434666119}",0.9433078085029953,0.9433078085029953,0.31856062024301873,0.2653342590015591,0.4161051207554221,0.5543069919274037,7.794133175325862,0.16956463487309792,12.705925225057157,0.6254408268801168,210564995047.69727,0.7573303189170896,0.3922322702763681,1.0,0.9,0.5999999999999999,0.24266968108291045,213599093372.33792,"{""a"": 9, ""b"": 4, ""c"": 4, ""d"": 7, ""e"": 0, ""f"": 1, ""g"": 2, ""h"": 9, ""i"": 1, ""j"": 7, ""k"": 5, ""l"": 7, ""m"": 1, ""n"": 2, ""o"": 6, ""p"": 4, ""q"": 5, ""r"": 7, ""s"": 5, ""t"": 8, ""u"": 3, ""v"": 8, ""w"": 0, ""x"": 0, ""y"": 2, ""z"": 2}"
8,evolved_rank_8,800,197112053607,755,45,39,84,41531708436,54137912.90921539,10671235191532362142,21,1.250203860324697,15.757002937930434,3.586348281279819,"{""0"": 44335506534, ""1"": 51534655737, ""2"": 14223488447, ""3"": 15801441349, ""4"": 21835847549, ""5"": 65806027158, ""6"": 113342473430, ""7"": 51675979169, ""8"": 69986467413, ""9"": 114179181974}",0.9182609895980117,0.9182609895980117,0.28169318212538147,0.21595268045993252,0.5023541374146859,0.4627518131471648,7.92611641495643,0.17431867426473466,12.812776743670995,0.724567457090955,211519647529.88864,0.7234625048379524,0.2551249838734923,1.0,1.0,0.20000000000000007,0.2765374951620477,214268331280.2925,"{""a"": 6, ""b"": 1, ""c"": 4, ""d"": 5, ""e"": 6, ""f"": 1, ""g"": 4, ""h"": 9, ""i"": 5, ""j"": 9, ""k"": 0, ""l"": 5, ""m"": 2, ""n"": 0, ""o"": 9, ""p"": 2, ""q"": 8, ""r"": 7, ""s"": 7, ""t"": 8, ""u"": 4, ""v"": 3, ""w"": 1, ""x"": 5, ""y"": 3, ""z"": 0}"
9,evolved_rank_9,800,197112053607,762,38,32,70,30030225089,72727977.69421326,14335561037990462723,15,1.216660571012809,13.675719242429272,3.1180929635912094,"{""0"": 40488857459, ""1"": 65693154070, ""2"": 87808751133, ""3"": 69297028510, ""4"": 41830611618, ""5"": 16190159851, ""6"": 133129973868, ""7"": 14241721222, ""8"": 21975289331, ""9"": 72065521698}",0.9151023196512296,0.9151023196512296,0.2000180647314706,0.15579378180060735,0.644188153467922,0.5833004553860769,8.000770590767349,0.1753221718727764,12.972649551479238,0.7538396820787987,212831258234.28827,0.8184733136280805,0.1884222879063983,1.0,0.9,0.5999999999999999,0.18152668637191952,214855530474.09674,"{""a"": 1, ""b"": 5, ""c"": 9, ""d"": 1, ""e"": 6, ""f"": 2, ""g"": 7, ""h"": 2, ""i"": 0, ""j"": 0, ""k"": 0, ""l"": 8, ""m"": 8, ""n"": 3, ""o"": 9, ""p"": 5, ""q"": 4, ""r"": 3, ""s"": 4, ""t"": 6, ""u"": 2, ""v"": 5, ""w"": 4, ""x"": 1, ""y"": 7, ""z"": 3}"
10,evolved_rank_10,800,197112053607,757,43,34,77,44156208450,89857230.44090813,17711943223644837411,20,1.2832604389547955,12.967310747125355,2.8655424334889137,"{""0"": 79317510007, ""1"": 25548491293, ""2"": 34527943150, ""3"": 21835847549, ""4"": 56678855806, ""5"": 90599929392, ""6"": 43277773112, ""7"": 75255231751, ""8"": 84971923163, ""9"": 50707563537}",0.9588442584350617,0.9588442584350617,0.23106487523298255,0.1964035480305374,0.57253157673648,0.4758070801213737,8.39036786898663,0.1713258398851819,11.832694712963871,0.7060155067962718,213351285044.51904,0.6865384615384615,0.4615384615384615,1.0,0.9,0.4,0.31346153846153846,215661287048.33896,"{""a"": 9, ""b"": 4, ""c"": 3, ""d"": 8, ""e"": 0, ""f"": 1, ""g"": 3, ""h"": 7, ""i"": 4, ""j"": 7, ""k"": 4, ""l"": 2, ""m"": 2, ""n"": 6, ""o"": 5, ""p"": 4, ""q"": 0, ""r"": 7, ""s"": 5, ""t"": 8, ""u"": 3, ""v"": 4, ""w"": 0, ""x"": 9, ""y"": 2, ""z"": 2}"
