tier,pattern_type,subject,value,statement,details
top_1_percent,separate_letters,a/b,1.0,a and b consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/c,1.0,a and c consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/d,1.0,a and d consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/e,1.0,a and e consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/f,1.0,a and f consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/g,1.0,a and g consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/h,1.0,a and h consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/i,1.0,a and i consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/j,1.0,a and j consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/k,1.0,a and k consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/l,1.0,a and l consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/m,1.0,a and m consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/n,1.0,a and n consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/o,1.0,a and o consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/p,1.0,a and p consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/q,1.0,a and q consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/s,1.0,a and s consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/t,1.0,a and t consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/u,1.0,a and u consistently separate in top_1_percent.,
top_1_percent,separate_letters,a/v,1.0,a and v consistently separate in top_1_percent.,
top_1_percent,clustered_letters,a/r,1.0,a and r repeatedly cluster in top_1_percent.,
top_1_percent,clustered_letters,b/w,1.0,b and w repeatedly cluster in top_1_percent.,
top_1_percent,clustered_letters,b/y,1.0,b and y repeatedly cluster in top_1_percent.,
top_1_percent,clustered_letters,c/o,1.0,c and o repeatedly cluster in top_1_percent.,
top_1_percent,clustered_letters,c/z,1.0,c and z repeatedly cluster in top_1_percent.,
