layout_name,letter,channel
qwerty_derived,a,0
qwerty_derived,b,3
qwerty_derived,c,2
qwerty_derived,d,2
qwerty_derived,e,2
qwerty_derived,f,3
qwerty_derived,g,3
qwerty_derived,h,6
qwerty_derived,i,7
qwerty_derived,j,6
qwerty_derived,k,7
qwerty_derived,l,8
qwerty_derived,m,6
qwerty_derived,n,6
qwerty_derived,o,8
qwerty_derived,p,9
qwerty_derived,q,0
qwerty_derived,r,3
qwerty_derived,s,1
qwerty_derived,t,3
qwerty_derived,u,6
qwerty_derived,v,3
qwerty_derived,w,1
qwerty_derived,x,1
qwerty_derived,y,6
qwerty_derived,z,0
random_seed_42,a,3
random_seed_42,b,2
random_seed_42,c,6
random_seed_42,d,4
random_seed_42,e,9
random_seed_42,f,6
random_seed_42,g,5
random_seed_42,h,1
random_seed_42,i,2
random_seed_42,j,2
random_seed_42,k,7
random_seed_42,l,0
random_seed_42,m,1
random_seed_42,n,5
random_seed_42,o,3
random_seed_42,p,8
random_seed_42,q,0
random_seed_42,r,7
random_seed_42,s,1
random_seed_42,t,4
random_seed_42,u,5
random_seed_42,v,0
random_seed_42,w,9
random_seed_42,x,4
random_seed_42,y,8
random_seed_42,z,3
frequency_static,a,2
frequency_static,b,0
frequency_static,c,7
frequency_static,d,9
frequency_static,e,0
frequency_static,f,5
frequency_static,g,3
frequency_static,h,7
frequency_static,i,4
frequency_static,j,2
frequency_static,k,1
frequency_static,l,9
frequency_static,m,6
frequency_static,n,5
frequency_static,o,3
frequency_static,p,1
frequency_static,q,4
frequency_static,r,8
frequency_static,s,6
frequency_static,t,1
frequency_static,u,8
frequency_static,v,0
frequency_static,w,4
frequency_static,x,3
frequency_static,y,2
frequency_static,z,5
frequency_corpus,a,3
frequency_corpus,b,9
frequency_corpus,c,5
frequency_corpus,d,8
frequency_corpus,e,2
frequency_corpus,f,9
frequency_corpus,g,5
frequency_corpus,h,4
frequency_corpus,i,6
frequency_corpus,j,9
frequency_corpus,k,6
frequency_corpus,l,8
frequency_corpus,m,6
frequency_corpus,n,5
frequency_corpus,o,1
frequency_corpus,p,3
frequency_corpus,q,9
frequency_corpus,r,7
frequency_corpus,s,8
frequency_corpus,t,0
frequency_corpus,u,7
frequency_corpus,v,4
frequency_corpus,w,9
frequency_corpus,x,8
frequency_corpus,y,7
frequency_corpus,z,9
optimized_greedy,a,6
optimized_greedy,b,9
optimized_greedy,c,1
optimized_greedy,d,7
optimized_greedy,e,3
optimized_greedy,f,5
optimized_greedy,g,9
optimized_greedy,h,5
optimized_greedy,i,7
optimized_greedy,j,9
optimized_greedy,k,8
optimized_greedy,l,0
optimized_greedy,m,8
optimized_greedy,n,4
optimized_greedy,o,2
optimized_greedy,p,8
optimized_greedy,q,8
optimized_greedy,r,7
optimized_greedy,s,6
optimized_greedy,t,3
optimized_greedy,u,5
optimized_greedy,v,9
optimized_greedy,w,4
optimized_greedy,x,9
optimized_greedy,y,6
optimized_greedy,z,9
